19800101
6.00,1.00
6.50,-4.50
11.00,-4.00
9.00,-3.00
2.50,-4.00
2.00,-11.50
5.00,-8.50
6.00,0.00
9.00,2.00
10.00,-2.00
11.00,2.00
11.00,-1.50
7.50,0.00
8.00,0.00
12.50,-2.50
13.00,-1.00
14.00,2.50
11.00,7.50
14.00,-2.00
13.50,-3.50
11.50,-2.50
9.00,1.00
8.00,-4.00
5.00,-6.50
10.00,-4.00
11.00,-1.50
9.50,2.00
8.00,-0.50
8.00,-0.50
6.50,-2.50
2.50,-5.50
0.00,-6.00
-3.50,-13.00
-4.50,-14.00
0.50,-13.00
1.50,-11.50
2.00,-12.00
3.00,-9.00
0.50,-11.50
2.00,-12.00
3.00,-7.00
3.00,-5.50
4.50,-8.50
4.50,-8.50
4.50,-11.50
9.50,-10.50
14.00,-7.50
12.50,-2.50
3.00,-10.50
4.00,-13.50
8.00,-10.50
10.50,-4.00
11.50,1.50
19.00,7.00
20.50,3.00
21.00,0.00
18.00,-3.00
5.00,-10.50
3.50,-11.50
13.00,-8.50
16.00,-4.00
10.00,-4.50
-1.00,-10.00
3.00,-18.50
9.50,-12.00
11.50,-4.50
14.50,-3.00
17.50,-1.00
17.50,6.00
21.00,4.00
18.00,-2.00
16.50,0.00
8.50,-2.50
8.50,0.00
11.50,-3.00
12.50,-5.50
17.00,-3.00
13.50,4.00
13.50,-0.50
13.00,-3.50
14.00,-0.50
12.00,3.50
10.50,-3.00
16.00,-3.50
16.50,1.00
15.00,4.50
16.00,1.50
15.00,-0.50
15.00,2.50
15.00,5.00
19.00,6.50
15.50,5.50
17.00,-1.00
20.50,1.50
20.50,4.00
20.50,7.50
17.00,0.50
14.00,-2.50
15.50,3.00
16.50,9.00
19.50,0.00
18.50,1.00
20.50,0.50
20.50,6.00
14.00,8.50
16.00,7.00
11.50,1.50
12.00,0.00
15.50,-3.50
18.50,-1.00
20.50,1.00
21.00,2.00
22.00,2.00
23.50,2.00
27.00,4.50
27.50,7.00
25.50,9.50
22.00,10.50
21.00,9.50
17.50,3.00
14.50,3.00
13.50,2.00
18.50,0.00
20.50,2.50
21.50,4.00
23.00,4.50
23.50,7.50
24.00,5.50
25.00,7.00
23.50,8.50
20.00,1.00
20.50,1.50
23.50,4.50
27.50,8.00
28.50,13.00
26.00,11.00
24.50,9.50
23.50,11.50
20.50,12.50
22.50,13.00
25.00,11.50
21.50,12.00
22.50,9.00
22.00,9.00
21.00,12.00
22.00,13.00
22.00,13.50
23.50,11.00
26.50,8.50
27.50,9.50
27.50,11.50
26.50,13.00
26.00,12.50
26.50,12.50
27.50,12.50
29.00,14.00
29.00,15.00
28.00,13.50
28.00,12.50
29.50,15.00
29.50,16.00
26.00,8.00
23.50,5.50
25.00,6.50
25.50,6.50
25.50,9.00
28.00,11.00
29.50,11.50
29.50,14.50
28.00,15.50
24.50,15.00
25.50,11.50
27.00,12.00
26.00,11.50
26.00,12.00
27.00,14.00
23.50,16.00
23.50,16.00
25.50,14.50
29.50,13.00
31.00,14.50
29.50,15.00
26.00,13.50
